LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1733303843.386197,308079.000,48173,2,EA,1,100,0.030204
1733303843.386197,308079.000,48173,2,EA,1,100,0.030204
1733303843.452697,308145.500,48191,2,EA,1,100,0.030204
1733303843.519197,308212.000,48191,2,EA,1,100,0.030204
1733303843.586197,308279.000,48207,1,EA,1,100,0.030204
1733303843.652697,308345.500,48222,2,EA,1,100,0.030204
1733303843.719198,308412.000,48222,2,EA,1,100,0.030204
1733303843.786198,308479.000,48239,1,EA,1,100,0.030204
1733303843.852698,308545.500,48256,2,EA,1,100,0.030204
1733303843.919198,308612.000,48256,2,EA,1,100,0.030204
1733303843.986198,308679.000,48272,1,EA,1,100,0.030204
1733303844.052699,308745.500,48288,2,EA,1,100,0.030204
1733303844.119199,308812.000,48288,2,EA,1,100,0.030204
1733303844.185699,308878.500,48309,2,EA,1,100,0.030204
1733303844.252199,308945.000,48309,2,EA,1,100,0.030204
1733303844.319199,309012.000,48326,2,EA,1,100,0.030204
1733303844.386199,309079.000,48326,2,EA,1,100,0.030204
1733303844.453200,309146.000,48343,1,EA,1,100,0.030204
1733303844.519700,309212.500,48360,2,EA,1,100,0.030204
1733303844.586200,309279.000,48360,2,EA,1,100,0.030204
1733303844.652200,309345.000,48376,1,EA,1,100,0.030204
1733303844.719200,309412.000,48392,2,EA,1,100,0.030204
1733303844.786201,309479.000,48392,2,EA,1,100,0.030204
1733303844.853201,309546.000,48408,1,EA,1,100,0.030204
1733303844.919701,309612.500,48427,2,EA,1,100,0.030204
1733303844.986201,309679.000,48427,2,EA,1,100,0.030204
1733303845.053201,309746.000,48443,1,EA,1,100,0.030204
1733303845.119702,309812.500,48459,2,EA,1,100,0.030204
1733303845.186202,309879.000,48459,2,EA,1,100,0.030204
1733303845.252202,309945.000,48475,1,EA,1,100,0.030204
1733303845.319202,310012.000,48492,2,EA,1,100,0.030204
1733303845.386202,310079.000,48492,2,EA,1,100,0.030204
1733303845.452203,310145.000,48509,1,EA,1,100,0.030204
