LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1733303843.293196,307986.000,48162,1,AY,1,100,0.102
1733303843.333196,308026.000,48178,3,AY,1,100,0.111
1733303843.373197,308066.000,48178,3,AY,1,100,0.107
1733303843.413197,308106.000,48178,3,AY,1,100,0.104
1733303843.453197,308146.000,48196,2,AY,1,100,0.103
1733303843.493197,308186.000,48196,2,AY,1,100,0.083
1733303843.533197,308226.000,48210,3,AY,1,100,0.066
1733303843.573197,308266.000,48210,3,AY,1,100,0.068
1733303843.613197,308306.000,48210,3,AY,1,100,0.076
1733303843.653197,308346.000,48227,2,AY,1,100,0.125
1733303843.693197,308386.000,48227,2,AY,1,100,0.105
1733303843.733197,308426.000,48244,3,AY,1,100,0.082
1733303843.773198,308466.000,48244,3,AY,1,100,0.085
1733303843.813198,308506.000,48244,3,AY,1,100,0.109
1733303843.853198,308546.000,48261,2,AY,1,100,0.087
1733303843.893198,308586.000,48261,2,AY,1,100,0.083
1733303843.933198,308626.000,48275,3,AY,1,100,0.083
1733303843.973198,308666.000,48275,3,AY,1,100,0.083
1733303844.013198,308706.000,48275,3,AY,1,100,0.073
1733303844.053199,308746.000,48293,3,AY,1,100,0.071
1733303844.093199,308786.000,48293,3,AY,1,100,0.071
1733303844.133199,308826.000,48293,3,AY,1,100,0.082
1733303844.173199,308866.000,48314,3,AY,1,100,0.074
1733303844.213199,308906.000,48314,3,AY,1,100,0.067
1733303844.253199,308946.000,48314,3,AY,1,100,0.080
1733303844.293199,308986.000,48331,3,AY,1,100,0.079
1733303844.333199,309026.000,48331,3,AY,1,100,0.080
1733303844.373199,309066.000,48331,3,AY,1,100,0.083
1733303844.413200,309106.000,48348,2,AY,1,100,0.071
1733303844.453200,309146.000,48348,2,AY,1,100,0.084
1733303844.493200,309186.000,48365,3,AY,1,100,0.069
1733303844.533200,309226.000,48365,3,AY,1,100,0.073
1733303844.573200,309266.000,48365,3,AY,1,100,0.070
1733303844.613200,309306.000,48379,3,AY,1,100,0.082
1733303844.653200,309346.000,48379,3,AY,1,100,0.073
1733303844.693200,309386.000,48379,3,AY,1,100,0.067
1733303844.733201,309426.000,48397,2,AY,1,100,0.072
1733303844.773201,309466.000,48397,2,AY,1,100,0.076
1733303844.808867,309501.667,48413,3,AY,1,100,0.069
1733303844.844534,309537.333,48413,3,AY,1,100,0.073
1733303844.880201,309573.000,48413,3,AY,1,100,0.080
1733303844.920201,309613.000,48432,3,AY,1,100,0.071
1733303844.960201,309653.000,48432,3,AY,1,100,0.068
1733303845.000201,309693.000,48432,3,AY,1,100,0.082
1733303845.040201,309733.000,48446,2,AY,1,100,0.075
1733303845.080202,309773.000,48446,2,AY,1,100,0.073
1733303845.120202,309813.000,48464,3,AY,1,100,0.079
1733303845.160202,309853.000,48464,3,AY,1,100,0.071
1733303845.200202,309893.000,48464,3,AY,1,100,0.067
1733303845.240202,309933.000,48480,2,AY,1,100,0.075
1733303845.280202,309973.000,48480,2,AY,1,100,0.070
1733303845.320202,310013.000,48497,3,AY,1,100,0.076
1733303845.360202,310053.000,48497,3,AY,1,100,0.081
1733303845.400203,310093.000,48497,3,AY,1,100,0.070
1733303845.440202,310133.000,48512,2,AY,1,100,0.070
1733303845.480203,310173.000,48512,2,AY,1,100,0.078
1733303845.520203,310213.000,48531,3,AY,1,100,0.080
1733303845.560203,310253.000,48531,3,AY,1,100,0.070
1733303845.600203,310293.000,48531,3,AY,1,100,0.079
1733303845.640203,310333.000,48547,2,AY,1,100,0.081
1733303845.680203,310373.000,48547,2,AY,1,100,0.067
1733303845.720203,310413.000,48565,3,AY,1,100,0.066
1733303845.760204,310453.000,48565,3,AY,1,100,0.074
1733303845.800204,310493.000,48565,3,AY,1,100,0.087
1733303845.840204,310533.000,48580,2,AY,1,100,0.075
1733303845.880204,310573.000,48580,2,AY,1,100,0.075
1733303845.920204,310613.000,48596,3,AY,1,100,0.077
1733303845.960204,310653.000,48596,3,AY,1,100,0.074
1733303846.000204,310693.000,48596,3,AY,1,100,0.074
1733303846.040204,310733.000,48612,2,AY,1,100,0.079
1733303846.080204,310773.000,48612,2,AY,1,100,0.077
