LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AZ
1733303843.293196,307986.000,48163,1,AZ,1,100,0.827
1733303843.333196,308026.000,48179,3,AZ,1,100,0.833
1733303843.373197,308066.000,48179,3,AZ,1,100,0.799
1733303843.413197,308106.000,48179,3,AZ,1,100,0.794
1733303843.453197,308146.000,48197,2,AZ,1,100,0.832
1733303843.493197,308186.000,48197,2,AZ,1,100,0.854
1733303843.533197,308226.000,48211,3,AZ,1,100,0.888
1733303843.573197,308266.000,48211,3,AZ,1,100,0.874
1733303843.613197,308306.000,48211,3,AZ,1,100,0.977
1733303843.653197,308346.000,48228,2,AZ,1,100,0.872
1733303843.693197,308386.000,48228,2,AZ,1,100,0.864
1733303843.733197,308426.000,48245,3,AZ,1,100,0.878
1733303843.773198,308466.000,48245,3,AZ,1,100,0.914
1733303843.813198,308506.000,48245,3,AZ,1,100,0.843
1733303843.853198,308546.000,48262,2,AZ,1,100,0.896
1733303843.893198,308586.000,48262,2,AZ,1,100,0.890
1733303843.933198,308626.000,48276,3,AZ,1,100,0.885
1733303843.973198,308666.000,48276,3,AZ,1,100,0.885
1733303844.013198,308706.000,48276,3,AZ,1,100,0.907
1733303844.053199,308746.000,48294,3,AZ,1,100,0.904
1733303844.093199,308786.000,48294,3,AZ,1,100,0.874
1733303844.133199,308826.000,48294,3,AZ,1,100,0.874
1733303844.173199,308866.000,48315,3,AZ,1,100,0.906
1733303844.213199,308906.000,48315,3,AZ,1,100,0.873
1733303844.253199,308946.000,48315,3,AZ,1,100,0.884
1733303844.293199,308986.000,48332,3,AZ,1,100,0.887
1733303844.333199,309026.000,48332,3,AZ,1,100,0.881
1733303844.373199,309066.000,48332,3,AZ,1,100,0.882
1733303844.413200,309106.000,48349,2,AZ,1,100,0.886
1733303844.453200,309146.000,48349,2,AZ,1,100,0.875
1733303844.493200,309186.000,48366,3,AZ,1,100,0.873
1733303844.533200,309226.000,48366,3,AZ,1,100,0.877
1733303844.573200,309266.000,48366,3,AZ,1,100,0.899
1733303844.613200,309306.000,48380,3,AZ,1,100,0.867
1733303844.653200,309346.000,48380,3,AZ,1,100,0.887
1733303844.693200,309386.000,48380,3,AZ,1,100,0.897
1733303844.733201,309426.000,48398,2,AZ,1,100,0.891
1733303844.773201,309466.000,48398,2,AZ,1,100,0.867
1733303844.808867,309501.667,48414,3,AZ,1,100,0.895
1733303844.844534,309537.333,48414,3,AZ,1,100,0.883
1733303844.880201,309573.000,48414,3,AZ,1,100,0.867
1733303844.920201,309613.000,48433,3,AZ,1,100,0.880
1733303844.960201,309653.000,48433,3,AZ,1,100,0.897
1733303845.000201,309693.000,48433,3,AZ,1,100,0.858
1733303845.040201,309733.000,48447,2,AZ,1,100,0.882
1733303845.080202,309773.000,48447,2,AZ,1,100,0.901
1733303845.120202,309813.000,48465,3,AZ,1,100,0.873
1733303845.160202,309853.000,48465,3,AZ,1,100,0.868
1733303845.200202,309893.000,48465,3,AZ,1,100,0.889
1733303845.240202,309933.000,48481,2,AZ,1,100,0.881
1733303845.280202,309973.000,48481,2,AZ,1,100,0.881
1733303845.320202,310013.000,48498,3,AZ,1,100,0.878
1733303845.360202,310053.000,48498,3,AZ,1,100,0.870
1733303845.400203,310093.000,48498,3,AZ,1,100,0.882
1733303845.440202,310133.000,48513,2,AZ,1,100,0.881
1733303845.480203,310173.000,48513,2,AZ,1,100,0.883
1733303845.520203,310213.000,48532,3,AZ,1,100,0.871
1733303845.560203,310253.000,48532,3,AZ,1,100,0.884
1733303845.600203,310293.000,48532,3,AZ,1,100,0.883
1733303845.640203,310333.000,48548,2,AZ,1,100,0.860
1733303845.680203,310373.000,48548,2,AZ,1,100,0.882
1733303845.720203,310413.000,48566,3,AZ,1,100,0.891
1733303845.760204,310453.000,48566,3,AZ,1,100,0.876
1733303845.800204,310493.000,48566,3,AZ,1,100,0.872
1733303845.840204,310533.000,48581,2,AZ,1,100,0.864
1733303845.880204,310573.000,48581,2,AZ,1,100,0.892
1733303845.920204,310613.000,48597,3,AZ,1,100,0.871
1733303845.960204,310653.000,48597,3,AZ,1,100,0.879
1733303846.000204,310693.000,48597,3,AZ,1,100,0.889
1733303846.040204,310733.000,48613,2,AZ,1,100,0.869
1733303846.080204,310773.000,48613,2,AZ,1,100,0.874
1733303846.120205,310813.000,48631,3,AZ,1,100,0.891
1733303846.160205,310853.000,48631,3,AZ,1,100,0.871
1733303846.200205,310893.000,48631,3,AZ,1,100,0.870
1733303846.240205,310933.000,48646,2,AZ,1,100,0.876
1733303846.280205,310973.000,48646,2,AZ,1,100,0.871
1733303846.315538,311008.333,48662,3,AZ,1,100,0.868
1733303846.350872,311043.667,48662,3,AZ,1,100,0.868
1733303846.386205,311079.000,48662,3,AZ,1,100,0.878
1733303846.426205,311119.000,48683,3,AZ,1,100,0.873
1733303846.466206,311159.000,48683,3,AZ,1,100,0.871
1733303846.506206,311199.000,48683,3,AZ,1,100,0.896
1733303846.546206,311239.000,48700,2,AZ,1,100,0.853
1733303846.586206,311279.000,48700,2,AZ,1,100,0.885
1733303846.626206,311319.000,48716,3,AZ,1,100,0.876
1733303846.666206,311359.000,48716,3,AZ,1,100,0.865
1733303846.706206,311399.000,48716,3,AZ,1,100,0.879
1733303846.746207,311439.000,48732,2,AZ,1,100,0.874
1733303846.786206,311479.000,48732,2,AZ,1,100,0.865
1733303846.826207,311519.000,48748,3,AZ,1,100,0.875
1733303846.866207,311559.000,48748,3,AZ,1,100,0.869
1733303846.906207,311599.000,48748,3,AZ,1,100,0.876
1733303846.946207,311639.000,48765,3,AZ,1,100,0.864
1733303846.986207,311679.000,48765,3,AZ,1,100,0.887
1733303847.026207,311719.000,48765,3,AZ,1,100,0.875
1733303847.066207,311759.000,48782,2,AZ,1,100,0.868
1733303847.106207,311799.000,48782,2,AZ,1,100,0.882
