LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1733303846.418205,311111.000,48670,1,B%,1,100, 0
1733303851.418220,316111.000,49491,1,B%,1,100, 0
1733303856.417235,321110.000,50312,1,B%,1,100, 0
1733303861.417249,326110.000,51130,1,B%,1,100, 0
1733303866.416264,331109.000,51950,1,B%,1,100, 0
1733303871.416279,336109.000,52752,1,B%,1,100, 0
1733303876.415293,341108.000,53573,1,B%,1,100, 0
1733303881.415308,346108.000,54394,1,B%,1,100, 0
1733303886.414323,351107.000,55213,1,B%,1,100, 0
1733303891.414338,356107.000,56029,1,B%,1,100, 0
1733303896.413352,361106.000,56831,1,B%,1,100, 0
1733303901.413367,366106.000,57652,1,B%,1,100, 0
1733303906.412382,371105.000,58469,1,B%,1,100, 0
1733303911.412396,376105.000,59270,1,B%,1,100, 0
1733303916.411411,381104.000,60076,1,B%,1,100, 0
1733303921.411426,386104.000,60892,1,B%,1,100, 0
1733303926.410440,391103.000,61711,1,B%,1,100, 0
1733303931.410455,396103.000,62512,1,B%,1,100, 0
1733303936.409470,401102.000,63346,1,B%,1,100, 0
1733303941.409484,406102.000,64142,1,B%,1,100, 0
1733303946.408499,411101.000,64961,1,B%,1,100, 0
1733303951.408514,416101.000,246,1,B%,1,100, 0
1733303956.407528,421100.000,1064,1,B%,1,100, 0
1733303961.407543,426100.000,1879,1,B%,1,100, 0
1733303966.406558,431099.000,2701,1,B%,1,100, 0
1733303971.406573,436099.000,3517,1,B%,1,100, 0
1733303976.405587,441098.000,4333,1,B%,1,100, 0
