LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BI
1733303844.907201,309600,48422,1,BI,1,100,1640
1733303845.587203,310280,48521,1,BI,1,100,680
1733303846.520206,311213,48671,1,BI,1,100,920
1733303847.400208,312093,48821,1,BI,1,100,880
1733303848.200211,312893,48954,1,BI,1,100,800
1733303848.960213,313653,49086,1,BI,1,100,760
1733303849.813215,314506,49209,1,BI,1,100,840
1733303850.733218,315426,49358,1,BI,1,100,920
1733303851.493220,316186,49492,1,BI,1,100,760
1733303852.453223,317146,49642,1,BI,1,100,960
1733303853.346226,318039,49791,1,BI,1,100,880
1733303854.106228,318799,49923,1,BI,1,100,760
1733303855.066231,319759,50078,1,BI,1,100,960
1733303855.986233,320679,50227,1,BI,1,100,920
1733303856.746236,321439,50345,1,BI,1,100,760
1733303857.639238,322332,50494,1,BI,1,100,880
1733303858.479241,323172,50626,1,BI,1,100,840
1733303859.239243,323932,50759,1,BI,1,100,760
1733303860.039245,324732,50881,1,BI,1,100,800
1733303860.932248,325625,51030,1,BI,1,100,880
1733303861.732250,326425,51164,1,BI,1,100,800
1733303862.572253,327265,51297,1,BI,1,100,840
1733303863.492256,328185,51446,1,BI,1,100,920
1733303864.372258,329065,51595,1,BI,1,100,880
1733303865.145260,329838,51716,1,BI,1,100,760
1733303865.905263,330598,51849,1,BI,1,100,760
1733303866.745265,331438,51984,1,BI,1,100,840
1733303867.465267,332158,52100,1,BI,1,100,720
1733303868.438270,333131,52250,1,BI,1,100,960
1733303869.158272,333851,52383,1,BI,1,100,720
1733303869.918274,334611,52503,1,BI,1,100,760
1733303870.718277,335411,52620,1,BI,1,100,800
1733303871.598279,336291,52771,1,BI,1,100,880
1733303872.251281,336944,52887,1,BI,1,100,640
1733303873.091284,337784,53019,1,BI,1,100,840
1733303873.851286,338544,53134,1,BI,1,100,760
1733303874.611288,339304,53267,1,BI,1,100,760
1733303875.411291,340104,53390,1,BI,1,100,800
1733303876.344293,341037,53556,1,BI,1,100,920
1733303877.144296,341837,53673,1,BI,1,100,800
1733303877.984298,342677,53823,1,BI,1,100,840
1733303878.864301,343557,53955,1,BI,1,100,880
1733303879.797303,344490,54122,1,BI,1,100,920
1733303880.677306,345370,54259,1,BI,1,100,880
1733303881.437308,346130,54374,1,BI,1,100,760
1733303882.317311,347010,54526,1,BI,1,100,880
1733303883.170313,347863,54658,1,BI,1,100,840
1733303884.130316,348823,54824,1,BI,1,100,960
1733303884.890318,349583,54940,1,BI,1,100,760
1733303885.690321,350383,55079,1,BI,1,100,800
1733303886.610323,351303,55231,1,BI,1,100,920
1733303887.583326,352276,55378,1,BI,1,100,960
1733303888.423329,353116,55527,1,BI,1,100,840
1733303889.183331,353876,55645,1,BI,1,100,760
1733303890.223334,354916,55809,1,BI,1,100,1040
1733303891.196337,355889,55961,1,BI,1,100,960
1733303892.076339,356769,56112,1,BI,1,100,880
1733303892.956342,357649,56262,1,BI,1,100,880
1733303893.956345,358649,56428,1,BI,1,100,1000
1733303894.689347,359382,56543,1,BI,1,100,720
1733303895.529350,360222,56683,1,BI,1,100,840
1733303896.489352,361182,56833,1,BI,1,100,960
1733303897.449355,362142,56981,1,BI,1,100,960
1733303898.382358,363075,57147,1,BI,1,100,920
1733303899.462361,364155,57313,1,BI,1,100,1080
1733303900.222363,364915,57446,1,BI,1,100,760
1733303901.142366,365835,57583,1,BI,1,100,920
1733303902.115369,366808,57751,1,BI,1,100,960
1733303902.995372,367688,57884,1,BI,1,100,880
1733303903.955374,368648,58050,1,BI,1,100,960
1733303904.754377,369447,58182,1,BI,1,100,800
1733303905.928380,370621,58368,1,BI,1,100,1160
1733303906.928383,371621,58536,1,BI,1,100,1000
1733303907.927386,372620,58702,1,BI,1,100,1000
1733303909.008389,373701,58866,1,BI,1,100,1080
1733303909.901392,374594,59015,1,BI,1,100,880
1733303910.780395,375473,59169,1,BI,1,100,880
1733303911.660397,376353,59304,1,BI,1,100,880
1733303912.621400,377314,59453,1,BI,1,100,960
1733303913.713403,378406,59619,1,BI,1,100,1080
1733303914.994407,379687,59834,1,BI,1,100,1280
1733303915.873410,380566,59989,1,BI,1,100,880
1733303916.927413,381620,60142,1,BI,1,100,1040
1733303918.647418,383340,60422,1,BI,1,100,1720
1733303919.566420,384259,60569,1,BI,1,100,920
1733303920.566423,385259,60735,1,BI,1,100,1000
1733303921.420426,386113,60873,1,BI,1,100,840
1733303922.300428,386993,61024,1,BI,1,100,880
1733303923.059431,387752,61141,1,BI,1,100,760
1733303924.019433,388712,61305,1,BI,1,100,960
1733303924.952436,389645,61455,1,BI,1,100,920
1733303925.752438,390445,61587,1,BI,1,100,800
1733303926.592441,391285,61712,1,BI,1,100,840
1733303927.592444,392285,61878,1,BI,1,100,1000
1733303928.725447,393418,62059,1,BI,1,100,1120
1733303929.765450,394458,62239,1,BI,1,100,1040
1733303930.605453,395298,62372,1,BI,1,100,840
1733303931.525455,396218,62531,1,BI,1,100,920
1733303932.498458,397191,62677,1,BI,1,100,960
1733303933.458461,398151,62844,1,BI,1,100,960
1733303934.098463,398791,62944,1,BI,1,100,640
1733303935.178466,399871,63126,1,BI,1,100,1080
1733303936.311469,401004,63306,1,BI,1,100,1120
1733303937.231472,401924,63446,1,BI,1,100,920
1733303938.151475,402844,63595,1,BI,1,100,920
1733303939.231478,403924,63776,1,BI,1,100,1080
1733303940.204481,404897,63942,1,BI,1,100,960
1733303941.084483,405777,64074,1,BI,1,100,880
1733303942.084486,406777,64249,1,BI,1,100,1000
1733303943.084489,407777,64399,1,BI,1,100,1000
1733303943.978492,408671,64546,1,BI,1,100,880
1733303944.977495,409670,64712,1,BI,1,100,1000
1733303945.977498,410670,64878,1,BI,1,100,1000
1733303946.737500,411430,65001,1,BI,1,100,760
1733303947.710503,412403,65167,1,BI,1,100,960
1733303948.710506,413403,65316,1,BI,1,100,1000
1733303949.670509,414363,65482,1,BI,1,100,960
1733303950.510511,415203,79,1,BI,1,100,840
1733303951.483514,416176,228,1,BI,1,100,960
1733303952.403517,417096,383,1,BI,1,100,920
1733303953.203519,417896,517,1,BI,1,100,800
1733303954.123522,418816,664,1,BI,1,100,920
1733303955.256525,419949,864,1,BI,1,100,1120
1733303956.056527,420749,979,1,BI,1,100,800
1733303957.096530,421789,1150,1,BI,1,100,1040
1733303958.096533,422789,1315,1,BI,1,100,1000
1733303958.989536,423682,1464,1,BI,1,100,880
1733303959.949539,424642,1613,1,BI,1,100,960
1733303960.869542,425562,1763,1,BI,1,100,920
1733303961.789544,426482,1913,1,BI,1,100,920
1733303962.642547,427335,2070,1,BI,1,100,840
1733303963.562549,428255,2219,1,BI,1,100,920
1733303964.522552,429215,2366,1,BI,1,100,960
1733303965.482555,430175,2532,1,BI,1,100,960
1733303966.375558,431068,2681,1,BI,1,100,880
1733303967.215560,431908,2821,1,BI,1,100,840
1733303968.215563,432908,2987,1,BI,1,100,1000
1733303969.095566,433788,3119,1,BI,1,100,880
1733303969.988568,434681,3269,1,BI,1,100,880
1733303970.868571,435561,3416,1,BI,1,100,880
1733303971.828574,436521,3567,1,BI,1,100,960
1733303972.748576,437441,3721,1,BI,1,100,920
1733303973.721579,438414,3887,1,BI,1,100,960
1733303974.601582,439294,4037,1,BI,1,100,880
1733303975.481585,440174,4169,1,BI,1,100,880
1733303976.481587,441174,4335,1,BI,1,100,1000
