LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1733303846.418205,311111.000,48669,1,BV,1,100,3.33
1733303851.418220,316111.000,49490,1,BV,1,100,3.33
1733303856.417235,321110.000,50311,1,BV,1,100,3.33
1733303861.417249,326110.000,51129,1,BV,1,100,3.33
1733303866.416264,331109.000,51949,1,BV,1,100,3.33
1733303871.416279,336109.000,52751,1,BV,1,100,3.33
1733303876.415293,341108.000,53572,1,BV,1,100,3.33
1733303881.415308,346108.000,54393,1,BV,1,100,3.33
1733303886.414323,351107.000,55212,1,BV,1,100,3.33
1733303891.414338,356107.000,56028,1,BV,1,100,3.33
1733303896.413352,361106.000,56830,1,BV,1,100,3.33
1733303901.413367,366106.000,57651,1,BV,1,100,3.33
1733303906.412382,371105.000,58468,1,BV,1,100,3.33
1733303911.412396,376105.000,59269,1,BV,1,100,3.32
1733303916.411411,381104.000,60075,1,BV,1,100,3.33
1733303921.411426,386104.000,60891,1,BV,1,100,3.33
1733303926.410440,391103.000,61710,1,BV,1,100,3.32
1733303931.410455,396103.000,62511,1,BV,1,100,3.33
1733303936.409470,401102.000,63345,1,BV,1,100,3.32
1733303941.409484,406102.000,64141,1,BV,1,100,3.33
1733303946.408499,411101.000,64960,1,BV,1,100,3.32
1733303951.408514,416101.000,245,1,BV,1,100,3.32
1733303956.407528,421100.000,1063,1,BV,1,100,3.32
1733303961.407543,426100.000,1878,1,BV,1,100,3.32
1733303966.406558,431099.000,2700,1,BV,1,100,3.32
1733303971.406573,436099.000,3516,1,BV,1,100,3.32
1733303976.405587,441098.000,4332,1,BV,1,100,3.32
