LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1733303843.293196,307986.000,48166,1,GZ,1,100,-0.610
1733303843.333196,308026.000,48182,3,GZ,1,100,-1.831
1733303843.373197,308066.000,48182,3,GZ,1,100,0.000
1733303843.413197,308106.000,48182,3,GZ,1,100,-3.479
1733303843.453197,308146.000,48200,2,GZ,1,100,-8.850
1733303843.493197,308186.000,48200,2,GZ,1,100,-5.371
1733303843.533197,308226.000,48214,3,GZ,1,100,-6.470
1733303843.573197,308266.000,48214,3,GZ,1,100,-2.045
1733303843.613197,308306.000,48214,3,GZ,1,100,-3.784
1733303843.653197,308346.000,48231,2,GZ,1,100,-5.646
1733303843.693197,308386.000,48231,2,GZ,1,100,-0.519
1733303843.733197,308426.000,48248,3,GZ,1,100,0.275
1733303843.773198,308466.000,48248,3,GZ,1,100,-0.031
1733303843.813198,308506.000,48248,3,GZ,1,100,-1.129
1733303843.853198,308546.000,48265,2,GZ,1,100,-1.038
1733303843.893198,308586.000,48265,2,GZ,1,100,-2.258
1733303843.933198,308626.000,48279,3,GZ,1,100,-0.519
1733303843.973198,308666.000,48279,3,GZ,1,100,-0.427
1733303844.013198,308706.000,48279,3,GZ,1,100,-1.221
1733303844.053199,308746.000,48297,3,GZ,1,100,-0.549
1733303844.093199,308786.000,48297,3,GZ,1,100,1.068
1733303844.133199,308826.000,48297,3,GZ,1,100,0.549
1733303844.173199,308866.000,48318,3,GZ,1,100,-1.007
1733303844.213199,308906.000,48318,3,GZ,1,100,0.397
1733303844.253199,308946.000,48318,3,GZ,1,100,1.801
1733303844.293199,308986.000,48335,3,GZ,1,100,-0.793
1733303844.333199,309026.000,48335,3,GZ,1,100,-0.305
1733303844.373199,309066.000,48335,3,GZ,1,100,0.000
1733303844.413200,309106.000,48352,2,GZ,1,100,-0.488
1733303844.453200,309146.000,48352,2,GZ,1,100,0.916
1733303844.493200,309186.000,48369,3,GZ,1,100,0.031
1733303844.533200,309226.000,48369,3,GZ,1,100,0.092
1733303844.573200,309266.000,48369,3,GZ,1,100,-0.580
1733303844.613200,309306.000,48383,3,GZ,1,100,0.000
1733303844.653200,309346.000,48383,3,GZ,1,100,0.885
1733303844.693200,309386.000,48383,3,GZ,1,100,-0.488
1733303844.733201,309426.000,48401,2,GZ,1,100,0.183
1733303844.773201,309466.000,48401,2,GZ,1,100,1.221
1733303844.808867,309501.667,48417,3,GZ,1,100,0.092
1733303844.844534,309537.333,48417,3,GZ,1,100,-1.007
1733303844.880201,309573.000,48417,3,GZ,1,100,0.397
1733303844.920201,309613.000,48436,3,GZ,1,100,0.366
1733303844.960201,309653.000,48436,3,GZ,1,100,-0.702
1733303845.000201,309693.000,48436,3,GZ,1,100,0.275
1733303845.040201,309733.000,48450,2,GZ,1,100,0.275
1733303845.080202,309773.000,48450,2,GZ,1,100,-0.824
1733303845.120202,309813.000,48468,3,GZ,1,100,-0.488
1733303845.160202,309853.000,48468,3,GZ,1,100,0.732
1733303845.200202,309893.000,48468,3,GZ,1,100,-0.427
1733303845.240202,309933.000,48484,2,GZ,1,100,-0.397
1733303845.280202,309973.000,48484,2,GZ,1,100,0.153
1733303845.320202,310013.000,48501,3,GZ,1,100,-0.153
1733303845.360202,310053.000,48501,3,GZ,1,100,-0.122
1733303845.400203,310093.000,48501,3,GZ,1,100,0.275
1733303845.440202,310133.000,48516,2,GZ,1,100,0.092
1733303845.480203,310173.000,48516,2,GZ,1,100,0.824
1733303845.520203,310213.000,48535,3,GZ,1,100,0.732
1733303845.560203,310253.000,48535,3,GZ,1,100,0.336
1733303845.600203,310293.000,48535,3,GZ,1,100,0.549
1733303845.640203,310333.000,48551,2,GZ,1,100,-0.061
1733303845.680203,310373.000,48551,2,GZ,1,100,0.397
1733303845.720203,310413.000,48569,3,GZ,1,100,0.305
