LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,HR
1733303844.907201,309600,48423,1,HR,1,100,62.26
1733303845.587203,310280,48522,1,HR,1,100,68.03
1733303846.520206,311213,48672,1,HR,1,100,67.41
1733303847.400208,312093,48822,1,HR,1,100,67.58
1733303848.200211,312893,48955,1,HR,1,100,69.23
1733303848.960213,313653,49087,1,HR,1,100,71.39
1733303849.813215,314506,49210,1,HR,1,100,71.40
1733303850.733218,315426,49359,1,HR,1,100,70.02
1733303851.493220,316186,49493,1,HR,1,100,72.01
1733303852.453223,317146,49643,1,HR,1,100,69.89
1733303853.346226,318039,49792,1,HR,1,100,69.51
1733303854.106228,318799,49924,1,HR,1,100,71.61
1733303855.066231,319759,50079,1,HR,1,100,69.59
1733303855.986233,320679,50228,1,HR,1,100,68.61
1733303856.746236,321439,50346,1,HR,1,100,70.91
1733303857.639238,322332,50495,1,HR,1,100,70.30
1733303858.479241,323172,50627,1,HR,1,100,70.55
1733303859.239243,323932,50760,1,HR,1,100,72.42
1733303860.039245,324732,50882,1,HR,1,100,72.99
1733303860.932248,325625,51031,1,HR,1,100,71.92
1733303861.732250,326425,51165,1,HR,1,100,72.61
1733303862.572253,327265,51298,1,HR,1,100,72.35
1733303863.492256,328185,51447,1,HR,1,100,70.76
1733303864.372258,329065,51596,1,HR,1,100,70.19
1733303865.145260,329838,51717,1,HR,1,100,72.13
1733303865.905263,330598,51850,1,HR,1,100,73.65
1733303866.745265,331438,51985,1,HR,1,100,73.16
1733303867.465267,332158,52101,1,HR,1,100,75.42
1733303868.438270,333131,52251,1,HR,1,100,72.55
1733303869.158272,333851,52384,1,HR,1,100,74.94
1733303869.918274,334611,52504,1,HR,1,100,75.83
1733303870.718277,335411,52621,1,HR,1,100,75.65
1733303871.598279,336291,52772,1,HR,1,100,73.99
1733303872.251281,336944,52888,1,HR,1,100,78.38
1733303873.091284,337784,53020,1,HR,1,100,76.84
1733303873.851286,338544,53135,1,HR,1,100,77.30
1733303874.611288,339304,53268,1,HR,1,100,77.67
1733303875.411291,340104,53391,1,HR,1,100,77.08
1733303876.344293,341037,53557,1,HR,1,100,74.44
1733303877.144296,341837,53674,1,HR,1,100,74.57
1733303877.984298,342677,53824,1,HR,1,100,73.87
1733303878.864301,343557,53956,1,HR,1,100,72.60
1733303879.797303,344490,54123,1,HR,1,100,70.96
1733303880.677306,345370,54260,1,HR,1,100,70.34
1733303881.437308,346130,54375,1,HR,1,100,72.26
1733303882.317311,347010,54527,1,HR,1,100,71.35
1733303883.170313,347863,54659,1,HR,1,100,71.37
1733303884.130316,348823,54825,1,HR,1,100,69.40
1733303884.890318,349583,54941,1,HR,1,100,71.52
1733303885.690321,350383,55080,1,HR,1,100,72.29
1733303886.610323,351303,55232,1,HR,1,100,70.72
1733303887.583326,352276,55379,1,HR,1,100,68.89
1733303888.423329,353116,55528,1,HR,1,100,69.46
1733303889.183331,353876,55646,1,HR,1,100,71.57
1733303890.223334,354916,55810,1,HR,1,100,68.48
1733303891.196337,355889,55962,1,HR,1,100,67.15
1733303892.076339,356769,56113,1,HR,1,100,67.38
1733303892.956342,357649,56263,1,HR,1,100,67.56
1733303893.956345,358649,56429,1,HR,1,100,65.88
1733303894.689347,359382,56544,1,HR,1,100,69.76
1733303895.529350,360222,56684,1,HR,1,100,70.13
1733303896.489352,361182,56834,1,HR,1,100,68.43
1733303897.449355,362142,56982,1,HR,1,100,67.12
1733303898.382358,363075,57148,1,HR,1,100,66.69
