LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1733303843.519197,308212.000,48187,1,SF,1,100,14.8117
1733303843.786198,308479.000,48235,1,SF,1,100,14.6404
1733303844.119199,308812.000,48284,1,SF,1,100,14.4710
1733303844.453200,309146.000,48339,1,SF,1,100,14.3036
1733303844.786201,309479.000,48388,1,SF,1,100,14.1381
1733303845.186202,309879.000,48455,1,SF,1,100,13.9746
1733303845.452203,310145.000,48505,1,SF,1,100,13.8129
1733303845.786204,310479.000,48556,1,SF,1,100,13.6531
1733303846.186205,310879.000,48621,1,SF,1,100,13.4952
1733303846.519206,311212.000,48673,1,SF,1,100,13.3391
1733303846.786206,311479.000,48724,1,SF,1,100,13.1848
1733303847.119208,311812.000,48772,1,SF,1,100,13.0323
1733303847.519209,312212.000,48839,1,SF,1,100,12.8815
1733303847.786209,312479.000,48888,1,SF,1,100,12.7325
1733303848.119210,312812.000,48936,1,SF,1,100,12.5852
1733303848.519212,313212.000,49004,1,SF,1,100,12.4396
1733303848.852213,313545.000,49054,1,SF,1,100,12.2957
1733303849.119213,313812.000,49104,1,SF,1,100,12.1535
1733303849.519215,314212.000,49160,1,SF,1,100,12.0129
1733303849.785215,314478.000,49211,1,SF,1,100,11.8739
1733303850.119216,314812.000,49259,1,SF,1,100,11.7366
1733303850.519217,315212.000,49324,1,SF,1,100,11.6008
1733303850.785218,315478.000,49377,1,SF,1,100,11.4666
1733303851.118219,315811.000,49425,1,SF,1,100,11.3339
1733303851.519220,316212.000,49494,1,SF,1,100,11.2028
1733303851.785221,316478.000,49543,1,SF,1,100,11.0732
1733303852.118222,316811.000,49593,1,SF,1,100,10.9451
1733303852.452223,317145.000,49644,1,SF,1,100,10.8185
1733303852.852224,317545.000,49709,1,SF,1,100,10.6934
1733303853.118225,317811.000,49757,1,SF,1,100,10.5697
1733303853.452226,318145.000,49808,1,SF,1,100,10.4474
1733303853.852227,318545.000,49873,1,SF,1,100,10.3265
1733303854.118228,318811.000,49925,1,SF,1,100,10.2071
1733303854.518229,319211.000,49979,1,SF,1,100,10.0890
1733303854.785230,319478.000,50029,1,SF,1,100,9.9723
1733303855.118231,319811.000,50080,1,SF,1,100,9.8569
1733303855.518232,320211.000,50145,1,SF,1,100,9.7429
1733303855.851233,320544.000,50193,1,SF,1,100,9.6302
1733303856.118234,320811.000,50246,1,SF,1,100,9.5188
1733303856.451235,321144.000,50294,1,SF,1,100,9.4087
1733303856.851236,321544.000,50363,1,SF,1,100,9.2999
1733303857.118237,321811.000,50412,1,SF,1,100,9.1923
1733303857.451238,322144.000,50461,1,SF,1,100,9.0859
1733303857.785239,322478.000,50513,1,SF,1,100,8.9808
1733303858.184240,322877.000,50578,1,SF,1,100,8.8769
1733303858.451241,323144.000,50628,1,SF,1,100,8.7742
1733303858.784242,323477.000,50677,1,SF,1,100,8.6727
1733303859.184243,323877.000,50742,1,SF,1,100,8.5724
1733303859.451244,324144.000,50794,1,SF,1,100,8.4733
1733303859.851245,324544.000,50847,1,SF,1,100,8.3752
1733303860.118246,324811.000,50899,1,SF,1,100,8.2783
1733303860.451247,325144.000,50948,1,SF,1,100,8.1826
1733303860.851248,325544.000,51013,1,SF,1,100,8.0879
1733303861.118249,325811.000,51063,1,SF,1,100,7.9944
1733303861.451250,326144.000,51114,1,SF,1,100,7.9019
1733303861.784250,326477.000,51166,1,SF,1,100,7.8105
1733303862.184252,326877.000,51231,1,SF,1,100,7.7201
1733303862.451252,327144.000,51280,1,SF,1,100,7.6308
1733303862.784254,327477.000,51330,1,SF,1,100,7.5425
1733303863.184255,327877.000,51396,1,SF,1,100,7.4553
1733303863.517256,328210.000,51448,1,SF,1,100,7.3690
1733303863.784256,328477.000,51496,1,SF,1,100,7.2838
1733303864.117257,328810.000,51545,1,SF,1,100,7.1995
1733303864.517259,329210.000,51612,1,SF,1,100,7.1163
1733303864.850260,329543.000,51667,1,SF,1,100,7.0339
1733303865.184261,329877.000,51718,1,SF,1,100,6.9526
1733303865.450261,330143.000,51768,1,SF,1,100,6.8721
1733303865.784262,330477.000,51817,1,SF,1,100,6.7926
1733303866.184263,330877.000,51884,1,SF,1,100,6.7141
1733303866.450264,331143.000,51932,1,SF,1,100,6.6364
1733303866.784265,331477.000,51986,1,SF,1,100,6.5596
