RD,TS_received,TS_sent,AK,RoundTrip,
308876,308897,2024-12-04_16-17-24-186332,308898,21,
314003,314016,2024-12-04_16-17-29-313689,314017,13,
319121,319147,2024-12-04_16-17-34-434966,319148,26,
324240,324255,2024-12-04_16-17-39-555010,324256,15,
329367,329380,2024-12-04_16-17-44-682138,329381,13,
334495,334506,2024-12-04_16-17-49-807774,334507,11,
339605,339617,2024-12-04_16-17-54-919100,339618,12,
344724,344739,2024-12-04_16-18-00-041384,344740,15,
349851,349865,2024-12-04_16-18-05-165824,349866,14,
354970,360095,2024-12-04_16-18-10-416195,360096,5125,
360099,360130,2024-12-04_16-18-15-432151,360131,31,
365236,365264,2024-12-04_16-18-20-563607,365265,28,
370370,370382,2024-12-04_16-18-25-680020,370383,12,
375509,375561,2024-12-04_16-18-30-853305,375563,52,
380621,380706,2024-12-04_16-18-35-986330,380707,85,
385755,385767,2024-12-04_16-18-41-068075,385768,12,
390889,390980,2024-12-04_16-18-46-230947,390981,91,
396006,396014,2024-12-04_16-18-51-317740,396015,8,
401127,406251,2024-12-04_16-18-56-544156,406252,5124,
406259,406346,2024-12-04_16-19-01-573054,406348,87,
411364,411372,2024-12-04_16-19-06-675500,411382,8,
416471,416484,2024-12-04_16-19-11-782814,416485,13,
421607,426714,2024-12-04_16-19-17-027936,426715,5107,
426718,426727,2024-12-04_16-19-22-028984,426729,9,
431822,431833,2024-12-04_16-19-27-135369,431834,11,
436930,436948,2024-12-04_16-19-32-246936,436949,18,
