LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1733303843.307196,308000.000,48158,1,PI,1,100,168510
1733303843.347196,308040.000,48170,2,PI,1,100,168526
1733303843.387197,308080.000,48170,2,PI,1,100,168537
1733303843.427197,308120.000,48188,3,PI,1,100,168559
1733303843.467197,308160.000,48188,3,PI,1,100,168751
1733303843.507197,308200.000,48188,3,PI,1,100,168890
1733303843.547197,308240.000,48204,2,PI,1,100,169018
1733303843.587197,308280.000,48204,2,PI,1,100,169110
1733303843.627197,308320.000,48219,3,PI,1,100,169191
1733303843.667197,308360.000,48219,3,PI,1,100,169326
1733303843.707197,308400.000,48219,3,PI,1,100,169359
1733303843.747198,308440.000,48236,2,PI,1,100,169419
1733303843.787198,308480.000,48236,2,PI,1,100,169446
1733303843.827198,308520.000,48253,3,PI,1,100,169418
1733303843.867198,308560.000,48253,3,PI,1,100,169412
1733303843.907198,308600.000,48253,3,PI,1,100,169390
1733303843.947198,308640.000,48269,3,PI,1,100,169357
1733303843.987198,308680.000,48269,3,PI,1,100,169279
1733303844.027198,308720.000,48269,3,PI,1,100,169230
1733303844.067199,308760.000,48285,2,PI,1,100,169207
1733303844.107199,308800.000,48285,2,PI,1,100,169170
1733303844.147199,308840.000,48306,4,PI,1,100,169151
1733303844.187199,308880.000,48306,4,PI,1,100,169171
1733303844.227199,308920.000,48306,4,PI,1,100,169149
1733303844.267199,308960.000,48306,4,PI,1,100,169077
1733303844.307199,309000.000,48323,3,PI,1,100,168985
1733303844.347199,309040.000,48323,3,PI,1,100,168926
1733303844.387199,309080.000,48323,3,PI,1,100,168895
1733303844.427200,309120.000,48340,2,PI,1,100,168880
1733303844.467200,309160.000,48340,2,PI,1,100,168845
1733303844.507200,309200.000,48357,3,PI,1,100,168874
1733303844.547200,309240.000,48357,3,PI,1,100,168840
1733303844.587200,309280.000,48357,3,PI,1,100,168780
1733303844.627200,309320.000,48373,2,PI,1,100,168754
1733303844.667200,309360.000,48373,2,PI,1,100,168764
1733303844.707201,309400.000,48389,3,PI,1,100,168779
1733303844.747200,309440.000,48389,3,PI,1,100,168790
1733303844.787201,309480.000,48389,3,PI,1,100,168794
1733303844.827201,309520.000,48405,2,PI,1,100,168827
1733303844.867201,309560.000,48405,2,PI,1,100,168834
1733303844.907201,309600.000,48424,3,PI,1,100,168852
1733303844.947201,309640.000,48424,3,PI,1,100,168885
1733303844.987201,309680.000,48424,3,PI,1,100,168854
1733303845.027201,309720.000,48440,2,PI,1,100,168771
1733303845.067201,309760.000,48440,2,PI,1,100,168679
1733303845.107202,309800.000,48456,3,PI,1,100,168632
1733303845.147202,309840.000,48456,3,PI,1,100,168611
1733303845.187202,309880.000,48456,3,PI,1,100,168605
1733303845.227202,309920.000,48472,2,PI,1,100,168617
1733303845.267202,309960.000,48472,2,PI,1,100,168609
1733303845.307202,310000.000,48489,3,PI,1,100,168597
1733303845.347202,310040.000,48489,3,PI,1,100,168573
1733303845.387203,310080.000,48489,3,PI,1,100,168589
1733303845.427202,310120.000,48506,3,PI,1,100,168592
1733303845.467203,310160.000,48506,3,PI,1,100,168607
1733303845.507203,310200.000,48506,3,PI,1,100,168637
1733303845.547203,310240.000,48523,2,PI,1,100,168661
1733303845.587203,310280.000,48523,2,PI,1,100,168676
1733303845.627203,310320.000,48539,3,PI,1,100,168681
1733303845.667203,310360.000,48539,3,PI,1,100,168737
1733303845.707203,310400.000,48539,3,PI,1,100,168756
1733303845.747204,310440.000,48557,2,PI,1,100,168751
1733303845.787204,310480.000,48557,2,PI,1,100,168762
1733303845.833704,310526.500,48573,2,PI,1,100,168737
1733303845.880204,310573.000,48573,2,PI,1,100,168629
1733303845.920204,310613.000,48589,3,PI,1,100,168573
1733303845.960204,310653.000,48589,3,PI,1,100,168513
1733303846.000204,310693.000,48589,3,PI,1,100,168461
1733303846.040204,310733.000,48604,2,PI,1,100,168453
1733303846.080204,310773.000,48604,2,PI,1,100,168453
1733303846.120205,310813.000,48622,3,PI,1,100,168455
1733303846.160205,310853.000,48622,3,PI,1,100,168427
1733303846.200205,310893.000,48622,3,PI,1,100,168415
1733303846.240205,310933.000,48638,2,PI,1,100,168396
1733303846.280205,310973.000,48638,2,PI,1,100,168408
1733303846.320205,311013.000,48654,3,PI,1,100,168417
1733303846.360205,311053.000,48654,3,PI,1,100,168432
1733303846.400205,311093.000,48654,3,PI,1,100,168428
1733303846.440206,311133.000,48674,3,PI,1,100,168443
1733303846.480206,311173.000,48674,3,PI,1,100,168449
1733303846.520206,311213.000,48674,3,PI,1,100,168457
1733303846.560206,311253.000,48691,2,PI,1,100,168476
1733303846.600206,311293.000,48691,2,PI,1,100,168541
1733303846.640206,311333.000,48707,3,PI,1,100,168559
1733303846.680206,311373.000,48707,3,PI,1,100,168559
1733303846.720206,311413.000,48707,3,PI,1,100,168602
1733303846.760206,311453.000,48725,2,PI,1,100,168543
1733303846.800207,311493.000,48725,2,PI,1,100,168439
1733303846.840207,311533.000,48739,3,PI,1,100,168370
1733303846.880207,311573.000,48739,3,PI,1,100,168335
1733303846.920207,311613.000,48739,3,PI,1,100,168290
1733303846.960207,311653.000,48756,2,PI,1,100,168272
1733303847.000207,311693.000,48756,2,PI,1,100,168278
1733303847.040207,311733.000,48773,3,PI,1,100,168254
1733303847.080207,311773.000,48773,3,PI,1,100,168245
1733303847.120208,311813.000,48773,3,PI,1,100,168236
1733303847.160208,311853.000,48790,2,PI,1,100,168206
1733303847.200208,311893.000,48790,2,PI,1,100,168187
1733303847.240208,311933.000,48804,3,PI,1,100,168241
1733303847.280208,311973.000,48804,3,PI,1,100,168234
