LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1733303843.386197,308079.000,48174,2,EL,1,100,26402.000000
1733303843.386197,308079.000,48174,2,EL,1,100,26402.000000
1733303843.452697,308145.500,48192,2,EL,1,100,26402.000000
1733303843.519197,308212.000,48192,2,EL,1,100,26402.000000
1733303843.586197,308279.000,48208,1,EL,1,100,26402.000000
1733303843.652697,308345.500,48223,2,EL,1,100,26402.000000
1733303843.719198,308412.000,48223,2,EL,1,100,26402.199219
1733303843.786198,308479.000,48240,1,EL,1,100,26402.199219
1733303843.852698,308545.500,48257,2,EL,1,100,26402.199219
1733303843.919198,308612.000,48257,2,EL,1,100,26402.199219
1733303843.986198,308679.000,48273,1,EL,1,100,26402.000000
1733303844.052699,308745.500,48289,2,EL,1,100,26402.000000
1733303844.119199,308812.000,48289,2,EL,1,100,26402.199219
1733303844.185699,308878.500,48310,2,EL,1,100,26402.199219
1733303844.252199,308945.000,48310,2,EL,1,100,26402.000000
1733303844.319199,309012.000,48327,2,EL,1,100,26402.000000
1733303844.386199,309079.000,48327,2,EL,1,100,26402.000000
1733303844.453200,309146.000,48344,1,EL,1,100,26402.000000
1733303844.519700,309212.500,48361,2,EL,1,100,26402.000000
1733303844.586200,309279.000,48361,2,EL,1,100,26402.000000
1733303844.652200,309345.000,48377,1,EL,1,100,26402.000000
1733303844.719200,309412.000,48393,2,EL,1,100,26402.000000
1733303844.786201,309479.000,48393,2,EL,1,100,26402.000000
1733303844.853201,309546.000,48409,1,EL,1,100,26401.800781
1733303844.919701,309612.500,48428,2,EL,1,100,26402.000000
1733303844.986201,309679.000,48428,2,EL,1,100,26402.000000
1733303845.053201,309746.000,48444,1,EL,1,100,26402.000000
1733303845.119702,309812.500,48460,2,EL,1,100,26402.000000
1733303845.186202,309879.000,48460,2,EL,1,100,26402.000000
1733303845.252202,309945.000,48476,1,EL,1,100,26402.000000
1733303845.319202,310012.000,48493,2,EL,1,100,26402.000000
1733303845.386202,310079.000,48493,2,EL,1,100,26401.400391
1733303845.452203,310145.000,48510,1,EL,1,100,26401.599609
1733303845.519203,310212.000,48527,2,EL,1,100,26402.000000
1733303845.586203,310279.000,48527,2,EL,1,100,26401.800781
1733303845.652203,310345.000,48543,1,EL,1,100,26401.800781
1733303845.719203,310412.000,48561,2,EL,1,100,26401.599609
1733303845.786204,310479.000,48561,2,EL,1,100,26401.599609
1733303845.852204,310545.000,48577,1,EL,1,100,26401.400391
1733303845.919204,310612.000,48593,2,EL,1,100,26401.599609
1733303845.986204,310679.000,48593,2,EL,1,100,26401.400391
1733303846.052204,310745.000,48608,1,EL,1,100,26401.400391
1733303846.119205,310812.000,48626,2,EL,1,100,26401.000000
1733303846.186205,310879.000,48626,2,EL,1,100,26401.199219
1733303846.253205,310946.000,48642,1,EL,1,100,26401.000000
1733303846.319705,311012.500,48658,2,EL,1,100,26401.000000
1733303846.386205,311079.000,48658,2,EL,1,100,26401.000000
1733303846.452706,311145.500,48678,2,EL,1,100,26401.000000
1733303846.519206,311212.000,48678,2,EL,1,100,26401.199219
1733303846.586206,311279.000,48695,1,EL,1,100,26401.000000
1733303846.652706,311345.500,48711,2,EL,1,100,26401.000000
1733303846.719206,311412.000,48711,2,EL,1,100,26401.000000
1733303846.786206,311479.000,48729,1,EL,1,100,26401.000000
1733303846.852707,311545.500,48743,2,EL,1,100,26401.000000
1733303846.919207,311612.000,48743,2,EL,1,100,26401.199219
1733303846.986207,311679.000,48760,1,EL,1,100,26401.000000
1733303847.052707,311745.500,48777,2,EL,1,100,26401.199219
1733303847.119208,311812.000,48777,2,EL,1,100,26401.599609
1733303847.186208,311879.000,48794,1,EL,1,100,26401.599609
1733303847.252708,311945.500,48808,2,EL,1,100,26401.400391
1733303847.319208,312012.000,48808,2,EL,1,100,26401.199219
1733303847.386208,312079.000,48827,1,EL,1,100,26401.199219
1733303847.452708,312145.500,48844,2,EL,1,100,26401.000000
1733303847.519209,312212.000,48844,2,EL,1,100,26401.000000
1733303847.586209,312279.000,48861,1,EL,1,100,26401.000000
1733303847.652709,312345.500,48875,2,EL,1,100,26401.000000
1733303847.719209,312412.000,48875,2,EL,1,100,26401.000000
1733303847.786209,312479.000,48893,1,EL,1,100,26401.000000
1733303847.852710,312545.500,48909,2,EL,1,100,26401.000000
1733303847.919210,312612.000,48909,2,EL,1,100,26401.000000
1733303847.986210,312679.000,48926,1,EL,1,100,26401.000000
1733303848.052710,312745.500,48941,2,EL,1,100,26401.000000
1733303848.119210,312812.000,48941,2,EL,1,100,26401.000000
1733303848.186211,312879.000,48960,1,EL,1,100,26401.000000
1733303848.252711,312945.500,48976,2,EL,1,100,26401.000000
1733303848.319211,313012.000,48976,2,EL,1,100,26401.000000
1733303848.385211,313078.000,48993,1,EL,1,100,26401.000000
1733303848.452211,313145.000,49009,2,EL,1,100,26401.000000
1733303848.519212,313212.000,49009,2,EL,1,100,26401.199219
1733303848.585712,313278.500,49025,2,EL,1,100,26401.000000
1733303848.652212,313345.000,49025,2,EL,1,100,26401.199219
1733303848.719212,313412.000,49041,1,EL,1,100,26401.400391
1733303848.785712,313478.500,49059,2,EL,1,100,26401.199219
1733303848.852213,313545.000,49059,2,EL,1,100,26401.000000
1733303848.919213,313612.000,49075,1,EL,1,100,26401.199219
1733303848.985713,313678.500,49092,2,EL,1,100,26401.199219
1733303849.052213,313745.000,49092,2,EL,1,100,26401.199219
1733303849.119213,313812.000,49109,1,EL,1,100,26401.000000
1733303849.185714,313878.500,49126,2,EL,1,100,26401.000000
1733303849.252214,313945.000,49126,2,EL,1,100,26401.199219
1733303849.318714,314011.500,49148,2,EL,1,100,26401.400391
1733303849.385214,314078.000,49148,2,EL,1,100,26401.400391
1733303849.452214,314145.000,49165,2,EL,1,100,26401.400391
1733303849.519215,314212.000,49165,2,EL,1,100,26401.800781
1733303849.585215,314278.000,49182,1,EL,1,100,26401.800781
1733303849.652215,314345.000,49196,2,EL,1,100,26401.800781
1733303849.719215,314412.000,49196,2,EL,1,100,26401.800781
1733303849.785215,314478.000,49216,1,EL,1,100,26402.000000
1733303849.852216,314545.000,49232,2,EL,1,100,26402.000000
1733303849.919216,314612.000,49232,2,EL,1,100,26402.000000
1733303849.985216,314678.000,49249,1,EL,1,100,26402.000000
1733303850.052216,314745.000,49264,2,EL,1,100,26402.000000
1733303850.119216,314812.000,49264,2,EL,1,100,26402.000000
1733303850.185216,314878.000,49281,1,EL,1,100,26402.000000
1733303850.252217,314945.000,49297,2,EL,1,100,26402.000000
1733303850.319217,315012.000,49297,2,EL,1,100,26402.000000
1733303850.385217,315078.000,49314,1,EL,1,100,26402.000000
1733303850.452217,315145.000,49329,2,EL,1,100,26402.000000
1733303850.519217,315212.000,49329,2,EL,1,100,26402.000000
1733303850.585218,315278.000,49346,1,EL,1,100,26402.000000
1733303850.652218,315345.000,49364,2,EL,1,100,26402.000000
1733303850.719218,315412.000,49364,2,EL,1,100,26402.000000
1733303850.785218,315478.000,49382,1,EL,1,100,26402.000000
1733303850.852218,315545.000,49396,2,EL,1,100,26402.000000
1733303850.919219,315612.000,49396,2,EL,1,100,26402.000000
1733303850.985219,315678.000,49413,1,EL,1,100,26402.000000
1733303851.051719,315744.500,49430,2,EL,1,100,26402.000000
1733303851.118219,315811.000,49430,2,EL,1,100,26402.000000
1733303851.185220,315878.000,49447,1,EL,1,100,26402.199219
1733303851.251720,315944.500,49461,2,EL,1,100,26402.000000
1733303851.318220,316011.000,49461,2,EL,1,100,26402.000000
1733303851.385220,316078.000,49478,1,EL,1,100,26402.000000
1733303851.452220,316145.000,49499,2,EL,1,100,26402.000000
1733303851.519220,316212.000,49499,2,EL,1,100,26402.000000
1733303851.585221,316278.000,49516,1,EL,1,100,26402.000000
1733303851.652221,316345.000,49531,2,EL,1,100,26402.000000
1733303851.719221,316412.000,49531,2,EL,1,100,26402.000000
1733303851.785221,316478.000,49548,1,EL,1,100,26402.000000
1733303851.851721,316544.500,49564,2,EL,1,100,26402.000000
1733303851.918222,316611.000,49564,2,EL,1,100,26402.000000
1733303851.985222,316678.000,49581,2,EL,1,100,26402.199219
1733303852.052222,316745.000,49581,2,EL,1,100,26402.000000
1733303852.118222,316811.000,49598,1,EL,1,100,26402.000000
1733303852.185222,316878.000,49613,2,EL,1,100,26402.400391
1733303852.252223,316945.000,49613,2,EL,1,100,26402.599609
1733303852.318223,317011.000,49629,1,EL,1,100,26402.000000
1733303852.385223,317078.000,49649,2,EL,1,100,26402.199219
1733303852.452223,317145.000,49649,2,EL,1,100,26402.000000
1733303852.518223,317211.000,49665,1,EL,1,100,26402.000000
1733303852.585223,317278.000,49680,2,EL,1,100,26402.000000
1733303852.652224,317345.000,49680,2,EL,1,100,26402.800781
1733303852.718224,317411.000,49696,1,EL,1,100,26402.400391
1733303852.785224,317478.000,49714,2,EL,1,100,26402.199219
1733303852.852224,317545.000,49714,2,EL,1,100,26402.400391
1733303852.918225,317611.000,49730,1,EL,1,100,26402.000000
1733303852.985225,317678.000,49745,2,EL,1,100,26402.199219
1733303853.052225,317745.000,49745,2,EL,1,100,26402.599609
1733303853.118225,317811.000,49762,1,EL,1,100,26402.599609
1733303853.185225,317878.000,49779,2,EL,1,100,26402.199219
1733303853.252225,317945.000,49779,2,EL,1,100,26402.199219
1733303853.318226,318011.000,49797,1,EL,1,100,26402.199219
1733303853.385226,318078.000,49813,2,EL,1,100,26402.400391
1733303853.452226,318145.000,49813,2,EL,1,100,26402.599609
1733303853.518226,318211.000,49829,1,EL,1,100,26402.599609
1733303853.585227,318278.000,49846,2,EL,1,100,26402.400391
1733303853.652227,318345.000,49846,2,EL,1,100,26402.199219
1733303853.718227,318411.000,49862,1,EL,1,100,26402.000000
1733303853.785227,318478.000,49878,2,EL,1,100,26402.400391
1733303853.852227,318545.000,49878,2,EL,1,100,26402.800781
1733303853.918227,318611.000,49894,1,EL,1,100,26402.599609
1733303853.985228,318678.000,49911,2,EL,1,100,26402.800781
1733303854.052228,318745.000,49911,2,EL,1,100,26402.599609
1733303854.118228,318811.000,49930,1,EL,1,100,26402.599609
1733303854.185228,318878.000,49946,2,EL,1,100,26403.000000
1733303854.252228,318945.000,49946,2,EL,1,100,26403.000000
1733303854.318729,319011.500,49961,2,EL,1,100,26403.000000
1733303854.385229,319078.000,49961,2,EL,1,100,26403.000000
1733303854.451729,319144.500,49984,2,EL,1,100,26403.000000
1733303854.518229,319211.000,49984,2,EL,1,100,26403.000000
1733303854.585229,319278.000,50000,1,EL,1,100,26403.000000
1733303854.651730,319344.500,50017,2,EL,1,100,26403.000000
1733303854.718230,319411.000,50017,2,EL,1,100,26403.000000
1733303854.785230,319478.000,50034,1,EL,1,100,26403.000000
1733303854.851730,319544.500,50049,2,EL,1,100,26403.000000
1733303854.918230,319611.000,50049,2,EL,1,100,26403.000000
1733303854.985231,319678.000,50065,1,EL,1,100,26403.000000
1733303855.051731,319744.500,50085,2,EL,1,100,26403.000000
