LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EM
1733303843.312196,308005.000,48157,4,EM,1,100,RS
1733303843.312196,308005.000,48157,4,EM,1,100,RB
1733303843.312196,308005.000,48157,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303843.312196,308005.000,48157,4,EM,1,100,PS
1733303843.362696,308055.500,48186,4,EM,1,100,RS
1733303843.413197,308106.000,48186,4,EM,1,100,RB
1733303843.463697,308156.500,48186,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303843.514197,308207.000,48186,4,EM,1,100,PS
1733303843.564197,308257.000,48218,4,EM,1,100,RS
1733303843.614197,308307.000,48218,4,EM,1,100,RB
1733303843.664197,308357.000,48218,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303843.714197,308407.000,48218,4,EM,1,100,PS
1733303843.764448,308457.250,48252,4,EM,1,100,RS
1733303843.814698,308507.500,48252,4,EM,1,100,RB
1733303843.864948,308557.750,48252,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303843.915198,308608.000,48252,4,EM,1,100,PS
1733303843.965448,308658.250,48283,4,EM,1,100,RS
1733303844.015698,308708.500,48283,4,EM,1,100,RB
1733303844.065948,308758.750,48283,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303844.116199,308809.000,48283,4,EM,1,100,PS
1733303844.172699,308865.500,48322,4,EM,1,100,RS
1733303844.229199,308922.000,48322,4,EM,1,100,RB
1733303844.285699,308978.500,48322,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303844.342199,309035.000,48322,4,EM,1,100,PS
1733303844.392200,309085.000,48356,4,EM,1,100,RS
1733303844.442200,309135.000,48356,4,EM,1,100,RB
1733303844.492200,309185.000,48356,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303844.542200,309235.000,48356,4,EM,1,100,PS
1733303844.592450,309285.250,48387,4,EM,1,100,RS
1733303844.642700,309335.500,48387,4,EM,1,100,RB
1733303844.692950,309385.750,48387,4,EM,1,100,2024-12-04_16-17-23-034388.csv
1733303844.743201,309436.000,48387,4,EM,1,100,PS
1733303844.793451,309486.250,48421,4,EM,1,100,RS
1733303844.843701,309536.500,48421,4,EM,1,100,RB
