LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1733303843.307196,308000.000,48160,1,PG,1,100,12142
1733303843.347196,308040.000,48172,2,PG,1,100,12158
1733303843.387197,308080.000,48172,2,PG,1,100,12169
1733303843.427197,308120.000,48190,3,PG,1,100,12174
1733303843.467197,308160.000,48190,3,PG,1,100,12219
1733303843.507197,308200.000,48190,3,PG,1,100,12273
1733303843.547197,308240.000,48206,2,PG,1,100,12298
1733303843.587197,308280.000,48206,2,PG,1,100,12348
1733303843.627197,308320.000,48221,3,PG,1,100,12397
1733303843.667197,308360.000,48221,3,PG,1,100,12480
1733303843.707197,308400.000,48221,3,PG,1,100,12534
1733303843.747198,308440.000,48238,2,PG,1,100,12567
1733303843.787198,308480.000,48238,2,PG,1,100,12569
1733303843.827198,308520.000,48255,3,PG,1,100,12580
1733303843.867198,308560.000,48255,3,PG,1,100,12577
1733303843.907198,308600.000,48255,3,PG,1,100,12571
1733303843.947198,308640.000,48271,3,PG,1,100,12563
1733303843.987198,308680.000,48271,3,PG,1,100,12547
1733303844.027198,308720.000,48271,3,PG,1,100,12545
1733303844.067199,308760.000,48287,2,PG,1,100,12561
1733303844.107199,308800.000,48287,2,PG,1,100,12541
1733303844.147199,308840.000,48308,4,PG,1,100,12542
1733303844.187199,308880.000,48308,4,PG,1,100,12559
1733303844.227199,308920.000,48308,4,PG,1,100,12551
1733303844.267199,308960.000,48308,4,PG,1,100,12536
1733303844.307199,309000.000,48325,3,PG,1,100,12506
1733303844.347199,309040.000,48325,3,PG,1,100,12482
1733303844.387199,309080.000,48325,3,PG,1,100,12452
1733303844.427200,309120.000,48342,2,PG,1,100,12453
1733303844.467200,309160.000,48342,2,PG,1,100,12461
1733303844.507200,309200.000,48359,3,PG,1,100,12457
1733303844.547200,309240.000,48359,3,PG,1,100,12465
1733303844.587200,309280.000,48359,3,PG,1,100,12439
1733303844.627200,309320.000,48375,2,PG,1,100,12435
1733303844.667200,309360.000,48375,2,PG,1,100,12433
1733303844.707201,309400.000,48391,3,PG,1,100,12429
1733303844.747200,309440.000,48391,3,PG,1,100,12458
1733303844.787201,309480.000,48391,3,PG,1,100,12462
1733303844.827201,309520.000,48407,2,PG,1,100,12487
1733303844.867201,309560.000,48407,2,PG,1,100,12475
1733303844.907201,309600.000,48426,3,PG,1,100,12513
1733303844.947201,309640.000,48426,3,PG,1,100,12508
1733303844.987201,309680.000,48426,3,PG,1,100,12517
1733303845.027201,309720.000,48442,2,PG,1,100,12491
1733303845.067201,309760.000,48442,2,PG,1,100,12439
1733303845.107202,309800.000,48458,3,PG,1,100,12414
1733303845.147202,309840.000,48458,3,PG,1,100,12412
1733303845.187202,309880.000,48458,3,PG,1,100,12397
1733303845.227202,309920.000,48474,2,PG,1,100,12406
1733303845.267202,309960.000,48474,2,PG,1,100,12414
1733303845.307202,310000.000,48491,3,PG,1,100,12412
1733303845.347202,310040.000,48491,3,PG,1,100,12401
1733303845.387203,310080.000,48491,3,PG,1,100,12401
1733303845.427202,310120.000,48508,3,PG,1,100,12425
1733303845.467203,310160.000,48508,3,PG,1,100,12432
1733303845.507203,310200.000,48508,3,PG,1,100,12437
1733303845.547203,310240.000,48525,2,PG,1,100,12436
1733303845.587203,310280.000,48525,2,PG,1,100,12458
1733303845.627203,310320.000,48541,3,PG,1,100,12474
1733303845.667203,310360.000,48541,3,PG,1,100,12475
1733303845.707203,310400.000,48541,3,PG,1,100,12506
1733303845.747204,310440.000,48559,2,PG,1,100,12506
1733303845.787204,310480.000,48559,2,PG,1,100,12502
1733303845.833704,310526.500,48575,2,PG,1,100,12525
1733303845.880204,310573.000,48575,2,PG,1,100,12472
1733303845.920204,310613.000,48591,3,PG,1,100,12448
1733303845.960204,310653.000,48591,3,PG,1,100,12430
1733303846.000204,310693.000,48591,3,PG,1,100,12417
1733303846.040204,310733.000,48606,2,PG,1,100,12398
1733303846.080204,310773.000,48606,2,PG,1,100,12404
1733303846.120205,310813.000,48624,3,PG,1,100,12409
1733303846.160205,310853.000,48624,3,PG,1,100,12395
1733303846.200205,310893.000,48624,3,PG,1,100,12397
1733303846.240205,310933.000,48640,2,PG,1,100,12380
1733303846.280205,310973.000,48640,2,PG,1,100,12382
1733303846.320205,311013.000,48656,3,PG,1,100,12382
1733303846.360205,311053.000,48656,3,PG,1,100,12405
1733303846.400205,311093.000,48656,3,PG,1,100,12423
1733303846.440206,311133.000,48676,3,PG,1,100,12434
1733303846.480206,311173.000,48676,3,PG,1,100,12435
1733303846.520206,311213.000,48676,3,PG,1,100,12452
1733303846.560206,311253.000,48693,2,PG,1,100,12455
1733303846.600206,311293.000,48693,2,PG,1,100,12474
1733303846.640206,311333.000,48709,3,PG,1,100,12486
1733303846.680206,311373.000,48709,3,PG,1,100,12495
1733303846.720206,311413.000,48709,3,PG,1,100,12503
1733303846.760206,311453.000,48727,2,PG,1,100,12500
1733303846.800207,311493.000,48727,2,PG,1,100,12483
1733303846.840207,311533.000,48741,3,PG,1,100,12448
1733303846.880207,311573.000,48741,3,PG,1,100,12414
1733303846.920207,311613.000,48741,3,PG,1,100,12402
1733303846.960207,311653.000,48758,2,PG,1,100,12380
1733303847.000207,311693.000,48758,2,PG,1,100,12373
1733303847.040207,311733.000,48775,3,PG,1,100,12387
1733303847.080207,311773.000,48775,3,PG,1,100,12401
1733303847.120208,311813.000,48775,3,PG,1,100,12387
1733303847.160208,311853.000,48792,2,PG,1,100,12376
1733303847.200208,311893.000,48792,2,PG,1,100,12375
1733303847.240208,311933.000,48806,3,PG,1,100,12393
1733303847.280208,311973.000,48806,3,PG,1,100,12379
1733303847.320208,312013.000,48806,3,PG,1,100,12401
1733303847.360208,312053.000,48825,2,PG,1,100,12420
1733303847.400208,312093.000,48825,2,PG,1,100,12421
1733303847.440208,312133.000,48842,3,PG,1,100,12414
1733303847.480209,312173.000,48842,3,PG,1,100,12427
1733303847.520209,312213.000,48842,3,PG,1,100,12456
1733303847.560209,312253.000,48859,2,PG,1,100,12457
1733303847.600209,312293.000,48859,2,PG,1,100,12436
1733303847.640209,312333.000,48873,3,PG,1,100,12397
1733303847.680209,312373.000,48873,3,PG,1,100,12362
1733303847.720209,312413.000,48873,3,PG,1,100,12345
