LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1733303843.307196,308000.000,48159,1,PR,1,100,156457
1733303843.347196,308040.000,48171,2,PR,1,100,156487
1733303843.387197,308080.000,48171,2,PR,1,100,156543
1733303843.427197,308120.000,48189,3,PR,1,100,156666
1733303843.467197,308160.000,48189,3,PR,1,100,156957
1733303843.507197,308200.000,48189,3,PR,1,100,157255
1733303843.547197,308240.000,48205,2,PR,1,100,157450
1733303843.587197,308280.000,48205,2,PR,1,100,157703
1733303843.627197,308320.000,48220,3,PR,1,100,157889
1733303843.667197,308360.000,48220,3,PR,1,100,158251
1733303843.707197,308400.000,48220,3,PR,1,100,158420
1733303843.747198,308440.000,48237,2,PR,1,100,158571
1733303843.787198,308480.000,48237,2,PR,1,100,158608
1733303843.827198,308520.000,48254,3,PR,1,100,158613
1733303843.867198,308560.000,48254,3,PR,1,100,158562
1733303843.907198,308600.000,48254,3,PR,1,100,158523
1733303843.947198,308640.000,48270,3,PR,1,100,158398
1733303843.987198,308680.000,48270,3,PR,1,100,158297
1733303844.027198,308720.000,48270,3,PR,1,100,158216
1733303844.067199,308760.000,48286,2,PR,1,100,158132
1733303844.107199,308800.000,48286,2,PR,1,100,158094
1733303844.147199,308840.000,48307,4,PR,1,100,158090
1733303844.187199,308880.000,48307,4,PR,1,100,158042
1733303844.227199,308920.000,48307,4,PR,1,100,158013
1733303844.267199,308960.000,48307,4,PR,1,100,157938
1733303844.307199,309000.000,48324,3,PR,1,100,157899
1733303844.347199,309040.000,48324,3,PR,1,100,157871
1733303844.387199,309080.000,48324,3,PR,1,100,157841
1733303844.427200,309120.000,48341,2,PR,1,100,157835
1733303844.467200,309160.000,48341,2,PR,1,100,157863
1733303844.507200,309200.000,48358,3,PR,1,100,157859
1733303844.547200,309240.000,48358,3,PR,1,100,157814
1733303844.587200,309280.000,48358,3,PR,1,100,157783
1733303844.627200,309320.000,48374,2,PR,1,100,157774
1733303844.667200,309360.000,48374,2,PR,1,100,157762
1733303844.707201,309400.000,48390,3,PR,1,100,157783
