LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T1
1733303843.379196,308072.000,48175,1,T1,1,100,32.319
1733303843.513197,308206.000,48193,1,T1,1,100,32.386
1733303843.646197,308339.000,48224,1,T1,1,100,32.451
1733303843.779198,308472.000,48241,1,T1,1,100,32.408
1733303843.912198,308605.000,48258,1,T1,1,100,32.496
1733303844.046198,308739.000,48290,1,T1,1,100,32.498
1733303844.179199,308872.000,48311,1,T1,1,100,32.393
1733303844.312199,309005.000,48328,1,T1,1,100,32.312
1733303844.446200,309139.000,48345,1,T1,1,100,32.383
1733303844.579200,309272.000,48362,1,T1,1,100,32.379
1733303844.712200,309405.000,48394,1,T1,1,100,32.483
1733303844.846201,309539.000,48410,1,T1,1,100,32.528
1733303844.979201,309672.000,48429,1,T1,1,100,32.406
1733303845.112202,309805.000,48461,1,T1,1,100,32.353
1733303845.246202,309939.000,48477,1,T1,1,100,32.365
1733303845.379202,310072.000,48494,1,T1,1,100,32.477
1733303845.512203,310205.000,48528,1,T1,1,100,32.455
1733303845.646203,310339.000,48544,1,T1,1,100,32.445
1733303845.779204,310472.000,48562,1,T1,1,100,32.405
1733303845.912204,310605.000,48578,1,T1,1,100,32.494
1733303846.046204,310739.000,48609,1,T1,1,100,32.427
1733303846.179205,310872.000,48627,1,T1,1,100,32.397
1733303846.312205,311005.000,48643,1,T1,1,100,32.385
1733303846.445205,311138.000,48679,1,T1,1,100,32.450
1733303846.579206,311272.000,48696,1,T1,1,100,32.549
1733303846.712206,311405.000,48712,1,T1,1,100,32.415
1733303846.845207,311538.000,48744,1,T1,1,100,32.357
1733303846.979207,311672.000,48761,1,T1,1,100,32.474
1733303847.112207,311805.000,48778,1,T1,1,100,32.453
1733303847.245208,311938.000,48809,1,T1,1,100,32.444
1733303847.379208,312072.000,48828,1,T1,1,100,32.511
1733303847.512209,312205.000,48845,1,T1,1,100,32.540
1733303847.645209,312338.000,48876,1,T1,1,100,32.553
1733303847.779209,312472.000,48894,1,T1,1,100,32.523
1733303847.912210,312605.000,48910,1,T1,1,100,32.474
1733303848.045210,312738.000,48942,1,T1,1,100,32.383
1733303848.179211,312872.000,48961,1,T1,1,100,32.520
1733303848.312211,313005.000,48977,1,T1,1,100,32.544
1733303848.445211,313138.000,48994,1,T1,1,100,32.484
1733303848.579212,313272.000,49026,1,T1,1,100,32.599
1733303848.712212,313405.000,49042,1,T1,1,100,32.472
1733303848.845212,313538.000,49060,1,T1,1,100,32.488
1733303848.979213,313672.000,49093,1,T1,1,100,32.530
1733303849.112213,313805.000,49110,1,T1,1,100,32.549
1733303849.245214,313938.000,49127,1,T1,1,100,32.521
1733303849.378214,314071.000,49149,1,T1,1,100,32.545
1733303849.512214,314205.000,49166,1,T1,1,100,32.484
1733303849.645215,314338.000,49197,1,T1,1,100,32.422
1733303849.779215,314472.000,49217,1,T1,1,100,32.502
1733303849.912216,314605.000,49233,1,T1,1,100,32.536
1733303850.045216,314738.000,49265,1,T1,1,100,32.516
1733303850.179216,314872.000,49282,1,T1,1,100,32.507
1733303850.312217,315005.000,49298,1,T1,1,100,32.574
1733303850.445217,315138.000,49330,1,T1,1,100,32.426
1733303850.578218,315271.000,49347,1,T1,1,100,32.574
1733303850.712218,315405.000,49365,1,T1,1,100,32.497
1733303850.845218,315538.000,49397,1,T1,1,100,32.463
1733303850.978219,315671.000,49414,1,T1,1,100,32.519
1733303851.112219,315805.000,49431,1,T1,1,100,32.615
1733303851.245220,315938.000,49462,1,T1,1,100,32.550
1733303851.378220,316071.000,49479,1,T1,1,100,32.521
1733303851.512220,316205.000,49500,1,T1,1,100,32.438
1733303851.645221,316338.000,49517,1,T1,1,100,32.473
1733303851.778221,316471.000,49549,1,T1,1,100,32.418
1733303851.912222,316605.000,49565,1,T1,1,100,32.464
1733303852.045222,316738.000,49582,1,T1,1,100,32.485
1733303852.178222,316871.000,49614,1,T1,1,100,32.564
1733303852.312223,317005.000,49630,1,T1,1,100,32.492
1733303852.445223,317138.000,49650,1,T1,1,100,32.390
1733303852.578223,317271.000,49681,1,T1,1,100,32.382
1733303852.712224,317405.000,49697,1,T1,1,100,32.555
1733303852.845224,317538.000,49715,1,T1,1,100,32.524
1733303852.978225,317671.000,49746,1,T1,1,100,32.617
1733303853.111225,317804.000,49763,1,T1,1,100,32.586
1733303853.245225,317938.000,49780,1,T1,1,100,32.466
1733303853.378226,318071.000,49814,1,T1,1,100,32.556
1733303853.512226,318205.000,49830,1,T1,1,100,32.524
1733303853.645227,318338.000,49847,1,T1,1,100,32.617
1733303853.778227,318471.000,49879,1,T1,1,100,32.586
1733303853.912227,318605.000,49895,1,T1,1,100,32.644
1733303854.045228,318738.000,49912,1,T1,1,100,32.669
1733303854.178228,318871.000,49931,1,T1,1,100,32.644
1733303854.311229,319004.000,49962,1,T1,1,100,32.562
1733303854.445229,319138.000,49985,1,T1,1,100,32.527
1733303854.578229,319271.000,50001,1,T1,1,100,32.512
1733303854.711230,319404.000,50018,1,T1,1,100,32.576
1733303854.845230,319538.000,50050,1,T1,1,100,32.639
1733303854.978230,319671.000,50066,1,T1,1,100,32.560
1733303855.111231,319804.000,50086,1,T1,1,100,32.526
1733303855.245231,319938.000,50102,1,T1,1,100,32.476
1733303855.378232,320071.000,50133,1,T1,1,100,32.560
1733303855.511232,320204.000,50151,1,T1,1,100,32.491
1733303855.645232,320338.000,50167,1,T1,1,100,32.567
1733303855.778233,320471.000,50199,1,T1,1,100,32.493
1733303855.911233,320604.000,50216,1,T1,1,100,32.568
1733303856.045234,320738.000,50234,1,T1,1,100,32.565
1733303856.178234,320871.000,50266,1,T1,1,100,32.528
1733303856.311234,321004.000,50283,1,T1,1,100,32.619
1733303856.444235,321137.000,50300,1,T1,1,100,32.693
1733303856.578235,321271.000,50333,1,T1,1,100,32.584
1733303856.711236,321404.000,50352,1,T1,1,100,32.572
1733303856.845236,321538.000,50369,1,T1,1,100,32.637
1733303856.978236,321671.000,50400,1,T1,1,100,32.595
1733303857.111237,321804.000,50418,1,T1,1,100,32.647
1733303857.244237,321937.000,50434,1,T1,1,100,32.528
1733303857.378238,322071.000,50451,1,T1,1,100,32.619
1733303857.511238,322204.000,50483,1,T1,1,100,32.658
1733303857.644238,322337.000,50501,1,T1,1,100,32.710
1733303857.778239,322471.000,50519,1,T1,1,100,32.626
1733303857.911239,322604.000,50550,1,T1,1,100,32.661
1733303858.044240,322737.000,50566,1,T1,1,100,32.605
1733303858.178240,322871.000,50584,1,T1,1,100,32.616
1733303858.311240,323004.000,50615,1,T1,1,100,32.515
1733303858.444241,323137.000,50634,1,T1,1,100,32.542
1733303858.578241,323271.000,50651,1,T1,1,100,32.695
1733303858.711241,323404.000,50683,1,T1,1,100,32.620
1733303858.844242,323537.000,50699,1,T1,1,100,32.694
1733303858.978242,323671.000,50716,1,T1,1,100,32.655
1733303859.111243,323804.000,50748,1,T1,1,100,32.602
1733303859.244243,323937.000,50766,1,T1,1,100,32.651
1733303859.378243,324071.000,50783,1,T1,1,100,32.672
1733303859.511244,324204.000,50800,1,T1,1,100,32.681
1733303859.644244,324337.000,50821,1,T1,1,100,32.578
1733303859.777245,324470.000,50853,1,T1,1,100,32.640
1733303859.911245,324604.000,50869,1,T1,1,100,32.525
1733303860.044245,324737.000,50888,1,T1,1,100,32.546
1733303860.177246,324870.000,50920,1,T1,1,100,32.556
1733303860.311246,325004.000,50936,1,T1,1,100,32.559
1733303860.444247,325137.000,50954,1,T1,1,100,32.597
1733303860.577247,325270.000,50985,1,T1,1,100,32.577
1733303860.711247,325404.000,51001,1,T1,1,100,32.533
1733303860.844248,325537.000,51019,1,T1,1,100,32.514
1733303860.977248,325670.000,51052,1,T1,1,100,32.542
1733303861.111248,325804.000,51069,1,T1,1,100,32.624
1733303861.244249,325937.000,51086,1,T1,1,100,32.625
1733303861.377249,326070.000,51102,1,T1,1,100,32.696
1733303861.511250,326204.000,51136,1,T1,1,100,32.691
1733303861.644250,326337.000,51153,1,T1,1,100,32.583
1733303861.777251,326470.000,51172,1,T1,1,100,32.536
1733303861.911251,326604.000,51203,1,T1,1,100,32.551
1733303862.044251,326737.000,51220,1,T1,1,100,32.451
1733303862.177252,326870.000,51237,1,T1,1,100,32.692
1733303862.311252,327004.000,51268,1,T1,1,100,32.654
1733303862.444252,327137.000,51286,1,T1,1,100,32.567
1733303862.577253,327270.000,51304,1,T1,1,100,32.635
1733303862.711253,327404.000,51336,1,T1,1,100,32.700
1733303862.844254,327537.000,51353,1,T1,1,100,32.658
1733303862.977254,327670.000,51369,1,T1,1,100,32.639
1733303863.110255,327803.000,51386,1,T1,1,100,32.702
1733303863.244255,327937.000,51418,1,T1,1,100,32.694
1733303863.377255,328070.000,51434,1,T1,1,100,32.619
1733303863.510256,328203.000,51454,1,T1,1,100,32.623
1733303863.644256,328337.000,51485,1,T1,1,100,32.518
1733303863.777256,328470.000,51502,1,T1,1,100,32.472
1733303863.910257,328603.000,51519,1,T1,1,100,32.594
1733303864.044257,328737.000,51551,1,T1,1,100,32.576
1733303864.177258,328870.000,51567,1,T1,1,100,32.675
1733303864.310258,329003.000,51584,1,T1,1,100,32.647
1733303864.444258,329137.000,51618,1,T1,1,100,32.670
1733303864.577259,329270.000,51634,1,T1,1,100,32.715
1733303864.710259,329403.000,51656,1,T1,1,100,32.664
1733303864.844260,329537.000,51673,1,T1,1,100,32.606
1733303864.977260,329670.000,51690,1,T1,1,100,32.617
1733303865.110260,329803.000,51724,1,T1,1,100,32.763
1733303865.244261,329937.000,51740,1,T1,1,100,32.756
1733303865.377261,330070.000,51757,1,T1,1,100,32.682
1733303865.510262,330203.000,51789,1,T1,1,100,32.614
1733303865.644262,330337.000,51805,1,T1,1,100,32.585
1733303865.777262,330470.000,51823,1,T1,1,100,32.537
1733303865.910263,330603.000,51856,1,T1,1,100,32.551
1733303866.044263,330737.000,51872,1,T1,1,100,32.664
1733303866.177263,330870.000,51890,1,T1,1,100,32.571
1733303866.310264,331003.000,51921,1,T1,1,100,32.708
