LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TH
1733303843.394197,308087.000,48176,1,TH,1,100,30.035
1733303843.528197,308221.000,48194,1,TH,1,100,30.035
1733303843.661197,308354.000,48225,1,TH,1,100,30.083
1733303843.794198,308487.000,48242,1,TH,1,100,30.083
1733303843.927198,308620.000,48259,1,TH,1,100,30.155
1733303844.061198,308754.000,48291,1,TH,1,100,30.155
1733303844.194199,308887.000,48312,1,TH,1,100,30.075
1733303844.327199,309020.000,48329,1,TH,1,100,30.082
1733303844.461200,309154.000,48346,1,TH,1,100,30.137
1733303844.594200,309287.000,48363,1,TH,1,100,30.137
1733303844.727201,309420.000,48395,1,TH,1,100,30.236
1733303844.860201,309553.000,48411,1,TH,1,100,30.237
1733303844.994201,309687.000,48430,1,TH,1,100,30.000
1733303845.127202,309820.000,48462,1,TH,1,100,30.000
1733303845.261202,309954.000,48478,1,TH,1,100,30.110
1733303845.394202,310087.000,48495,1,TH,1,100,30.110
1733303845.527203,310220.000,48529,1,TH,1,100,30.118
1733303845.660203,310353.000,48545,1,TH,1,100,30.125
1733303845.794204,310487.000,48563,1,TH,1,100,30.084
1733303845.927204,310620.000,48594,1,TH,1,100,30.084
1733303846.060205,310753.000,48610,1,TH,1,100,30.156
1733303846.194205,310887.000,48628,1,TH,1,100,30.156
1733303846.327205,311020.000,48659,1,TH,1,100,30.143
1733303846.461205,311154.000,48680,1,TH,1,100,30.143
1733303846.594206,311287.000,48697,1,TH,1,100,30.068
1733303846.727206,311420.000,48713,1,TH,1,100,30.068
1733303846.860207,311553.000,48745,1,TH,1,100,30.181
1733303846.994207,311687.000,48762,1,TH,1,100,30.189
1733303847.127208,311820.000,48779,1,TH,1,100,30.139
1733303847.260208,311953.000,48810,1,TH,1,100,30.139
1733303847.394208,312087.000,48829,1,TH,1,100,30.106
1733303847.527209,312220.000,48846,1,TH,1,100,30.106
1733303847.660209,312353.000,48877,1,TH,1,100,30.158
1733303847.794209,312487.000,48895,1,TH,1,100,30.158
1733303847.927210,312620.000,48911,1,TH,1,100,30.157
1733303848.060210,312753.000,48943,1,TH,1,100,30.164
1733303848.194211,312887.000,48962,1,TH,1,100,30.108
1733303848.327211,313020.000,48978,1,TH,1,100,30.108
1733303848.460212,313153.000,49010,1,TH,1,100,30.138
1733303848.593212,313286.000,49027,1,TH,1,100,30.138
1733303848.727212,313420.000,49043,1,TH,1,100,30.123
1733303848.860213,313553.000,49061,1,TH,1,100,30.123
1733303848.993213,313686.000,49094,1,TH,1,100,30.061
1733303849.127213,313820.000,49111,1,TH,1,100,30.068
1733303849.260214,313953.000,49128,1,TH,1,100,30.171
1733303849.393214,314086.000,49150,1,TH,1,100,30.171
1733303849.527215,314220.000,49167,1,TH,1,100,30.263
1733303849.660215,314353.000,49198,1,TH,1,100,30.263
1733303849.793215,314486.000,49218,1,TH,1,100,30.201
1733303849.927216,314620.000,49234,1,TH,1,100,30.201
1733303850.060216,314753.000,49266,1,TH,1,100,30.145
1733303850.193217,314886.000,49283,1,TH,1,100,30.145
1733303850.327217,315020.000,49299,1,TH,1,100,30.207
1733303850.460217,315153.000,49331,1,TH,1,100,30.214
1733303850.593218,315286.000,49348,1,TH,1,100,30.119
1733303850.727218,315420.000,49366,1,TH,1,100,30.119
1733303850.860219,315553.000,49398,1,TH,1,100,30.201
1733303850.993219,315686.000,49415,1,TH,1,100,30.201
1733303851.126219,315819.000,49432,1,TH,1,100,30.165
1733303851.260220,315953.000,49463,1,TH,1,100,30.165
1733303851.393220,316086.000,49480,1,TH,1,100,30.211
1733303851.526221,316219.000,49501,1,TH,1,100,30.211
1733303851.660221,316353.000,49532,1,TH,1,100,30.190
1733303851.793221,316486.000,49550,1,TH,1,100,30.198
1733303851.927222,316620.000,49566,1,TH,1,100,30.110
1733303852.060222,316753.000,49583,1,TH,1,100,30.110
1733303852.193222,316886.000,49615,1,TH,1,100,30.087
1733303852.326223,317019.000,49631,1,TH,1,100,30.087
1733303852.460223,317153.000,49651,1,TH,1,100,30.169
1733303852.593224,317286.000,49682,1,TH,1,100,30.176
1733303852.727224,317420.000,49698,1,TH,1,100,30.158
1733303852.860224,317553.000,49716,1,TH,1,100,30.158
1733303852.993225,317686.000,49747,1,TH,1,100,30.158
1733303853.126225,317819.000,49764,1,TH,1,100,30.158
1733303853.260226,317953.000,49781,1,TH,1,100,30.171
1733303853.393226,318086.000,49815,1,TH,1,100,30.171
1733303853.526226,318219.000,49831,1,TH,1,100,30.189
1733303853.660227,318353.000,49848,1,TH,1,100,30.189
1733303853.793227,318486.000,49880,1,TH,1,100,30.139
1733303853.926228,318619.000,49896,1,TH,1,100,30.147
1733303854.060228,318753.000,49913,1,TH,1,100,30.211
1733303854.193228,318886.000,49947,1,TH,1,100,30.211
1733303854.326229,319019.000,49963,1,TH,1,100,30.167
1733303854.460229,319153.000,49986,1,TH,1,100,30.167
1733303854.593230,319286.000,50002,1,TH,1,100,30.246
