LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL
1733303844.180199,308873.000,48301,1,TL,1,100,2024-12-04_16-17-19-207202
1733303844.204199,308897.000,48304,1,TL,1,100,2024-12-04_16-17-24-186332
1733303849.308214,314001.000,49138,1,TL,1,100,2024-12-04_16-17-24-391361
1733303849.323214,314016.000,49141,1,TL,1,100,2024-12-04_16-17-29-313689
1733303854.422229,319115.000,49973,1,TL,1,100,2024-12-04_16-17-29-485746
1733303854.454229,319147.000,49976,1,TL,1,100,2024-12-04_16-17-34-434966
1733303859.542244,324235.000,50810,1,TL,1,100,2024-12-04_16-17-34-570399
1733303859.562244,324255.000,50813,1,TL,1,100,2024-12-04_16-17-39-555010
1733303864.673259,329366.000,51645,1,TL,1,100,2024-12-04_16-17-39-693569
1733303864.687259,329380.000,51648,1,TL,1,100,2024-12-04_16-17-44-682138
1733303869.800274,334493.000,52480,1,TL,1,100,2024-12-04_16-17-44-807871
1733303869.813274,334506.000,52483,1,TL,1,100,2024-12-04_16-17-49-807774
1733303874.911289,339604.000,53319,1,TL,1,100,2024-12-04_16-17-50-097640
1733303874.924289,339617.000,53322,1,TL,1,100,2024-12-04_16-17-54-919100
1733303880.029304,344722.000,54154,1,TL,1,100,2024-12-04_16-17-55-047074
1733303880.046304,344739.000,54157,1,TL,1,100,2024-12-04_16-18-00-041384
1733303885.153319,349846.000,54992,1,TL,1,100,2024-12-04_16-18-00-200078
1733303885.172319,349865.000,54995,1,TL,1,100,2024-12-04_16-18-05-165824
1733303890.272334,354965.000,55827,1,TL,1,100,2024-12-04_16-18-05-327742
1733303895.402349,360095.000,56658,1,TL,1,100,2024-12-04_16-18-10-416195
1733303895.404349,360097.000,56660,1,TL,1,100,2024-12-04_16-18-10-422149
1733303895.437349,360130.000,56663,1,TL,1,100,2024-12-04_16-18-15-432151
1733303900.537364,365230.000,57496,1,TL,1,100,2024-12-04_16-18-15-562890
1733303900.571364,365264.000,57499,1,TL,1,100,2024-12-04_16-18-20-563607
1733303905.675380,370368.000,58330,1,TL,1,100,2024-12-04_16-18-20-672321
1733303905.689379,370382.000,58333,1,TL,1,100,2024-12-04_16-18-25-680020
1733303910.813395,375506.000,59163,1,TL,1,100,2024-12-04_16-18-25-830859
1733303910.868395,375561.000,59166,1,TL,1,100,2024-12-04_16-18-30-853305
1733303915.923409,380616.000,59983,1,TL,1,100,2024-12-04_16-18-30-952395
1733303916.013410,380706.000,59986,1,TL,1,100,2024-12-04_16-18-35-986330
1733303921.056425,385749.000,60818,1,TL,1,100,2024-12-04_16-18-36-086970
1733303921.074425,385767.000,60821,1,TL,1,100,2024-12-04_16-18-41-068075
1733303926.194440,390887.000,61654,1,TL,1,100,2024-12-04_16-18-41-189577
1733303926.287440,390980.000,61657,1,TL,1,100,2024-12-04_16-18-46-230947
1733303931.308455,396001.000,62489,1,TL,1,100,2024-12-04_16-18-46-381474
1733303931.321455,396014.000,62492,1,TL,1,100,2024-12-04_16-18-51-317740
1733303936.429470,401122.000,63324,1,TL,1,100,2024-12-04_16-18-51-446684
1733303941.558485,406251.000,64160,1,TL,1,100,2024-12-04_16-18-56-544156
1733303941.560485,406253.000,64162,1,TL,1,100,2024-12-04_16-18-56-571305
1733303941.653485,406346.000,64165,1,TL,1,100,2024-12-04_16-19-01-573054
1733303946.666500,411359.000,64995,1,TL,1,100,2024-12-04_16-19-01-708041
1733303946.679500,411372.000,64998,1,TL,1,100,2024-12-04_16-19-06-675500
1733303951.773515,416466.000,280,1,TL,1,100,2024-12-04_16-19-06-805648
1733303951.791515,416484.000,283,1,TL,1,100,2024-12-04_16-19-11-782814
1733303956.912530,421605.000,1130,1,TL,1,100,2024-12-04_16-19-11-826632
1733303962.021545,426714.000,1963,1,TL,1,100,2024-12-04_16-19-17-027936
1733303962.023545,426716.000,1965,1,TL,1,100,2024-12-04_16-19-17-043803
1733303962.034545,426727.000,1968,1,TL,1,100,2024-12-04_16-19-22-028984
1733303967.128560,431821.000,2799,1,TL,1,100,2024-12-04_16-19-22-116145
1733303967.140560,431833.000,2802,1,TL,1,100,2024-12-04_16-19-27-135369
1733303972.236575,436929.000,3635,1,TL,1,100,2024-12-04_16-19-27-225566
1733303972.255575,436948.000,3638,1,TL,1,100,2024-12-04_16-19-32-246936
